appid,metacritic_score,metacritic_url
523680,0.0,unknown
439460,0.0,unknown
1308880,0.0,unknown
296650,0.0,unknown
1549420,0.0,unknown
418270,0.0,unknown
390220,0.0,unknown
549860,0.0,unknown
612380,0.0,unknown
1559340,0.0,unknown
1632640,0.0,unknown
350480,0.0,unknown
220900,0.0,unknown
1768260,0.0,unknown
539090,0.0,unknown
908500,0.0,unknown
1852760,0.0,unknown
809890,68.0,https://www.metacritic.com/game/pc/shining-resonance-refrain?ftag=MCD-06-10aaa1f
570770,0.0,unknown
448500,0.0,unknown
854160,0.0,unknown
1359170,0.0,unknown
897010,0.0,unknown
1607870,0.0,unknown
553260,52.0,https://www.metacritic.com/game/pc/realpolitiks?ftag=MCD-06-10aaa1f
453130,0.0,unknown
1508890,0.0,unknown
3010,82.0,https://www.metacritic.com/game/pc/xpand-rally?ftag=MCD-06-10aaa1f
1297480,0.0,unknown
1217830,0.0,unknown
628830,0.0,unknown
686440,0.0,unknown
521710,0.0,unknown
1986310,0.0,unknown
1259660,0.0,unknown
108200,0.0,unknown
614150,0.0,unknown
1570340,0.0,unknown
304970,0.0,unknown
1630940,0.0,unknown
878520,0.0,unknown
1927300,0.0,unknown
340630,0.0,unknown
704310,0.0,unknown
619150,0.0,unknown
1373890,0.0,unknown
1869200,0.0,unknown
392030,0.0,unknown
605850,0.0,unknown
441670,0.0,unknown
962150,0.0,unknown
50990,0.0,unknown
648510,0.0,unknown
1071070,0.0,unknown
2011540,0.0,unknown
1761740,0.0,unknown
538700,0.0,unknown
1564150,0.0,unknown
726870,0.0,unknown
1074390,0.0,unknown
1554780,0.0,unknown
1065750,0.0,unknown
714780,0.0,unknown
1321040,0.0,unknown
1204930,0.0,unknown
1588760,0.0,unknown
924740,0.0,unknown
416340,0.0,unknown
242610,0.0,unknown
1613340,0.0,unknown
1168980,0.0,unknown
1277340,0.0,unknown
1233610,0.0,unknown
302610,0.0,unknown
1638730,0.0,unknown
1484150,0.0,unknown
1850710,0.0,unknown
922520,0.0,unknown
1743770,0.0,unknown
1157200,0.0,unknown
1862100,0.0,unknown
2022020,0.0,unknown
1099400,0.0,unknown
1604610,0.0,unknown
503060,0.0,unknown
1275970,0.0,unknown
847490,0.0,unknown
1101580,0.0,unknown
201010,0.0,unknown
837610,0.0,unknown
1029870,0.0,unknown
205690,0.0,unknown
632240,0.0,unknown
1774150,0.0,unknown
898910,0.0,unknown
1042930,0.0,unknown
109500,0.0,unknown
539290,0.0,unknown
1603600,0.0,unknown
489100,0.0,unknown
1310620,0.0,unknown
740450,0.0,unknown
1646090,0.0,unknown
448670,0.0,unknown
1956110,0.0,unknown
542740,0.0,unknown
687980,0.0,unknown
612120,0.0,unknown
1259000,0.0,unknown
1380060,0.0,unknown
814560,0.0,unknown
701100,0.0,unknown
1407060,0.0,unknown
1495860,0.0,unknown
1126970,0.0,unknown
1639530,0.0,unknown
1995420,0.0,unknown
358000,0.0,unknown
1856080,0.0,unknown
239430,0.0,unknown
961490,0.0,unknown
363500,0.0,unknown
286750,59.0,https://www.metacritic.com/game/pc/zoo-empire?ftag=MCD-06-10aaa1f
388080,0.0,unknown
1565630,0.0,unknown
1751800,0.0,unknown
925360,0.0,unknown
482300,0.0,unknown
964910,0.0,unknown
16130,0.0,unknown
1716950,0.0,unknown
411530,0.0,unknown
237430,77.0,https://www.metacritic.com/game/pc/expeditions-conquistador?ftag=MCD-06-10aaa1f
1843720,0.0,unknown
485120,0.0,unknown
1907570,0.0,unknown
528670,0.0,unknown
417540,0.0,unknown
1496530,0.0,unknown
465070,0.0,unknown
448010,0.0,unknown
782630,0.0,unknown
1162170,0.0,unknown
1941850,0.0,unknown
1467740,0.0,unknown
1212930,0.0,unknown
1580990,0.0,unknown
1975670,0.0,unknown
1808480,0.0,unknown
818070,0.0,unknown
1271190,0.0,unknown
944590,0.0,unknown
1299400,0.0,unknown
958090,0.0,unknown
607040,0.0,unknown
1301850,0.0,unknown
299380,0.0,unknown
1626950,0.0,unknown
342260,0.0,unknown
1684920,0.0,unknown
888010,0.0,unknown
538950,0.0,unknown
293520,0.0,unknown
502940,0.0,unknown
1395560,0.0,unknown
1038680,0.0,unknown
291690,59.0,https://www.metacritic.com/game/pc/empathy-path-of-whispers?ftag=MCD-06-10aaa1f
1246200,0.0,unknown
1581010,0.0,unknown
1690250,0.0,unknown
653210,0.0,unknown
267360,0.0,unknown
1694430,0.0,unknown
1886850,0.0,unknown
1378490,0.0,unknown
499910,0.0,unknown
1863170,0.0,unknown
1644840,0.0,unknown
1422880,0.0,unknown
12460,0.0,unknown
410320,79.0,https://www.metacritic.com/game/pc/earth-defense-force-41-the-shadow-of-new-despair?ftag=MCD-06-10aaa1f
1345440,0.0,unknown
757600,0.0,unknown
952000,0.0,unknown
1735930,0.0,unknown
336670,0.0,unknown
1828410,0.0,unknown
733420,0.0,unknown
1528770,0.0,unknown
542260,0.0,unknown
369560,0.0,unknown
1494400,0.0,unknown
394850,0.0,unknown
953900,0.0,unknown
299480,68.0,https://www.metacritic.com/game/pc/rogue-stormers?ftag=MCD-06-10aaa1f
1696230,0.0,unknown
1530670,0.0,unknown
1260220,0.0,unknown
1503530,0.0,unknown
750960,0.0,unknown
1898130,0.0,unknown
523210,71.0,https://www.metacritic.com/game/pc/a-normal-lost-phone?ftag=MCD-06-10aaa1f
1278170,0.0,unknown
950400,0.0,unknown
766570,0.0,unknown
1694450,0.0,unknown
1343220,0.0,unknown
1672700,0.0,unknown
1860120,0.0,unknown
1338020,0.0,unknown
1213420,0.0,unknown
1385820,0.0,unknown
848460,0.0,unknown
735650,0.0,unknown
1048100,0.0,unknown
345700,0.0,unknown
1873830,0.0,unknown
65600,0.0,unknown
674250,0.0,unknown
439250,0.0,unknown
1788650,0.0,unknown
1239710,0.0,unknown
1275060,0.0,unknown
940350,0.0,unknown
868060,0.0,unknown
1284550,0.0,unknown
924670,0.0,unknown
598590,0.0,unknown
620050,0.0,unknown
211208,0.0,unknown
454330,0.0,unknown
1723050,0.0,unknown
763230,0.0,unknown
959710,0.0,unknown
1140060,0.0,unknown
1644920,0.0,unknown
957070,0.0,unknown
1270780,0.0,unknown
1702210,0.0,unknown
1302270,0.0,unknown
974930,0.0,unknown
1017480,0.0,unknown
676030,0.0,unknown
1728410,0.0,unknown
1165280,0.0,unknown
1095120,0.0,unknown
818390,0.0,unknown
1245470,0.0,unknown
839770,74.0,https://www.metacritic.com/game/pc/phoenix-point?ftag=MCD-06-10aaa1f
1874660,0.0,unknown
562640,0.0,unknown
360840,69.0,https://www.metacritic.com/game/pc/lumini?ftag=MCD-06-10aaa1f
1007890,0.0,unknown
1030840,0.0,unknown
1234450,0.0,unknown
890130,0.0,unknown
1908060,0.0,unknown
1093880,0.0,unknown
1896980,0.0,unknown
368730,0.0,unknown
1041300,0.0,unknown
572620,0.0,unknown
1581500,0.0,unknown
318260,0.0,unknown
821880,73.0,https://www.metacritic.com/game/pc/idol-manager?ftag=MCD-06-10aaa1f
886360,0.0,unknown
1408480,0.0,unknown
696760,0.0,unknown
780210,0.0,unknown
1713640,0.0,unknown
451600,0.0,unknown
1109350,0.0,unknown
781240,0.0,unknown
929570,0.0,unknown
841830,0.0,unknown
1165460,0.0,unknown
485980,0.0,unknown
679400,0.0,unknown
1514480,0.0,unknown
1368750,0.0,unknown
1121310,0.0,unknown
1453640,0.0,unknown
1389360,0.0,unknown
429480,0.0,unknown
1368400,0.0,unknown
1005050,0.0,unknown
529040,0.0,unknown
694070,0.0,unknown
1311210,0.0,unknown
1453660,0.0,unknown
587580,0.0,unknown
294440,68.0,https://www.metacritic.com/game/pc/shadowgate?ftag=MCD-06-10aaa1f
1309290,0.0,unknown
364980,0.0,unknown
269250,0.0,unknown
1228870,70.0,https://www.metacritic.com/game/pc/bartlows-dread-machine?ftag=MCD-06-10aaa1f
633660,0.0,unknown
1274280,0.0,unknown
1791610,0.0,unknown
1127500,87.0,https://www.metacritic.com/game/pc/mini-motorways?ftag=MCD-06-10aaa1f
508650,0.0,unknown
358700,0.0,unknown
656740,0.0,unknown
1047950,0.0,unknown
1076100,0.0,unknown
648150,0.0,unknown
630900,0.0,unknown
883160,0.0,unknown
783840,0.0,unknown
1487140,0.0,unknown
1696810,0.0,unknown
1178000,0.0,unknown
1138580,0.0,unknown
416090,0.0,unknown
595360,0.0,unknown
1581240,0.0,unknown
1751990,0.0,unknown
1445500,0.0,unknown
1315240,0.0,unknown
404530,0.0,unknown
1137650,0.0,unknown
461550,0.0,unknown
1408380,0.0,unknown
1049690,0.0,unknown
612840,0.0,unknown
1463120,0.0,unknown
243890,0.0,unknown
428410,0.0,unknown
988110,0.0,unknown
1921760,0.0,unknown
791370,0.0,unknown
622460,0.0,unknown
883130,0.0,unknown
913570,0.0,unknown
1930230,0.0,unknown
351490,0.0,unknown
378360,0.0,unknown
1273450,0.0,unknown
1059660,0.0,unknown
820830,0.0,unknown
668290,0.0,unknown
646100,0.0,unknown
1382310,0.0,unknown
1944970,0.0,unknown
1534240,0.0,unknown
1339310,0.0,unknown
575800,0.0,unknown
1968280,0.0,unknown
634120,0.0,unknown
1843230,0.0,unknown
1434550,0.0,unknown
316260,0.0,unknown
604040,0.0,unknown
1050170,0.0,unknown
1546120,0.0,unknown
762850,0.0,unknown
1221560,0.0,unknown
1939600,0.0,unknown
1652800,0.0,unknown
437530,0.0,unknown
1583650,0.0,unknown
526130,0.0,unknown
1651880,0.0,unknown
311120,0.0,unknown
410670,0.0,unknown
1131410,0.0,unknown
1417890,0.0,unknown
2006770,0.0,unknown
1583840,0.0,unknown
516940,0.0,unknown
1304320,0.0,unknown
1471960,76.0,https://www.metacritic.com/game/pc/room-to-grow?ftag=MCD-06-10aaa1f
1350540,0.0,unknown
1512910,0.0,unknown
511110,0.0,unknown
1578750,0.0,unknown
1674300,0.0,unknown
465750,0.0,unknown
1053660,0.0,unknown
605490,0.0,unknown
1253320,0.0,unknown
448960,0.0,unknown
1457150,0.0,unknown
1129660,0.0,unknown
1550750,0.0,unknown
1787520,0.0,unknown
292180,0.0,unknown
1095140,0.0,unknown
973410,0.0,unknown
1564660,0.0,unknown
1563100,0.0,unknown
1853200,0.0,unknown
1953220,0.0,unknown
1094250,0.0,unknown
1979720,0.0,unknown
536660,0.0,unknown
362920,0.0,unknown
1113940,0.0,unknown
915760,0.0,unknown
1682030,0.0,unknown
416840,0.0,unknown
529130,0.0,unknown
1730670,0.0,unknown
1535270,0.0,unknown
1836310,0.0,unknown
1945980,0.0,unknown
836440,0.0,unknown
796580,0.0,unknown
1830050,0.0,unknown
691680,0.0,unknown
1798310,0.0,unknown
2058120,0.0,unknown
399670,0.0,unknown
1410110,0.0,unknown
1841060,0.0,unknown
584170,0.0,unknown
559210,84.0,https://www.metacritic.com/game/pc/rakuen?ftag=MCD-06-10aaa1f
227160,0.0,unknown
1331390,0.0,unknown
816490,0.0,unknown
1576880,0.0,unknown
1527910,0.0,unknown
1876060,0.0,unknown
336230,0.0,unknown
1029160,0.0,unknown
1315070,0.0,unknown
1353870,0.0,unknown
975710,0.0,unknown
980940,0.0,unknown
800510,0.0,unknown
1094010,0.0,unknown
1692900,0.0,unknown
1730160,0.0,unknown
34282,0.0,unknown
714820,0.0,unknown
1794300,0.0,unknown
1297010,0.0,unknown
40800,87.0,https://www.metacritic.com/game/pc/super-meat-boy?ftag=MCD-06-10aaa1f
371450,0.0,unknown
2023330,0.0,unknown
1870170,0.0,unknown
627690,0.0,unknown
1348390,0.0,unknown
1436280,0.0,unknown
1312000,0.0,unknown
1815550,0.0,unknown
42920,71.0,https://www.metacritic.com/game/pc/the-kings-crusade?ftag=MCD-06-10aaa1f
959540,0.0,unknown
1167650,0.0,unknown
939250,0.0,unknown
1600180,0.0,unknown
1941400,0.0,unknown
305490,0.0,unknown
488360,0.0,unknown
682280,0.0,unknown
648070,0.0,unknown
1875470,0.0,unknown
810590,0.0,unknown
