appid,developers,publishers
411320,"Stormregion,THQ Nordic",THQ Nordic
288840,Gogii Games,Strategy First
1636260,Little Black Book Entertainment,Little Black Book Entertainment
319140,Renegade Kid,Good Shepherd Entertainment
936610,Dead Genre Studios,Dead Genre Studios
1050340,"Media Kobo, Inc.","Media Kobo, Inc."
1261990,Enaayah Software Development and Services Private Limited,Enaayah Software Development and Services Private Limited
461530,Individual Software,Individual Software
769150,Boogygames Studios,Boogygames Studios
1356110,EaseUS,EaseUS
552630,NinjaDuck Games,NinjaDuck Games
454410,GAME FREAK inc.,Rising Star Games
876300,OFF1C1AL,OFF1C1AL
1631850,PolyDev Team,PolyDev Team
1638140,40 Giants Entertainment,Fulqrum Publishing
787250,KicklessGame,RewindApp
1397110,Vincent Lade,Vincent Lade
437740,CydoniaGate,CydoniaGate
1899760,"Logan LaMont,David Christian Jennings,Markus Narten,Martin Beckelhymer",Great Games Studio
772420,"Rock AK Games,Adem Kaya Rockyade",Rock AK Games (AK)
761630,Snkl Studio,Snkl Studio
1034850,Starcolt,Alliance
1251300,AK Studio,AK Studio
1016960,Artisan Studios,Idea Factory International
1428970,Myriad Games Studio,Myriad Games Studio
33790,"Gunnar Games, Inc.",Ziggurat
1558600,Oung Oung,Oung Oung
725410,Echo607,Echo607
1310790,Lazernaut Games,Lazernaut Games
343390,Alawar Dreamdale,Alawar Entertainment
993170,games by lum,games by lum
811180,unknown,familyplay
1192840,Critoniuum,Dd Games
1595640,ondydev,ondydev
1867640,问天阁,垂云翼文化传播
269230,"Culture Attack Studio,Tyler Doak",Culture Attack Studio
1766750,Free Range Games,Free Range Games
1167700,灰烬天国,灰烬天国
881300,Team Nomad,Nomad Studios
1986630,Do Games Limited,Do Games Limited
1184040,Arkhouse Telegraph,Arkhouse Telegnosis
1204950,Digital Berzerk,Digital Berzerk
1525270,TrueWare,TrueWare
1061260,PIxelssoftworks,PIxelssoftworks
449180,Axis Games,Axis Games
547140,Brian Franco,Brian Franco
594160,NGV Studio,NGV Studio
1926870,Edge Games,Edge Games
1154560,Black Phoenix Studio,Black Phoenix Studio
1492480,Serenity Forge,Way Down Deep
1266680,Green Tile Digital,Green Tile Digital
965390,Tuomo Laine,Tuomo's games
1096210,Somepx,Ratalaika Games S.L.
1126580,Thunderbox Entertainment,Thunderbox Entertainment
1063710,Super Goodwin,Super Goodwin
1751400,Orbis Studio,Orbis Studio
885000,Kluge Interactive,Kluge Interactive
1339530,Arinima Games,Arinima Games
540020,RPG Video,Back To Basics Gaming
1126100,TomasKGames,TomasKGames
1285000,Two Inc,Click Games
